ProductAsin,Country,Date,Is_Verified,Rating_Score,Review_Date,Varient_Colour,Size,VariantAsin
B09G9BL5CP,India,8/11/2024,TRUE,4,8/11/2024, Midnight  ,256 GB,B09G9BQS98
B09G9BL5CP,India,8/16/2024,TRUE,5,8/16/2024, Midnight  ,256 GB,B09G9BQS98
B09G9BL5CP,India,5/14/2024,TRUE,4,5/14/2024, Midnight  ,256 GB,B09G9BQS98
B09G9BL5CP,India,6/24/2024,TRUE,5,6/24/2024, Midnight  ,256 GB,B09G9BQS98
B09G9BL5CP,India,5/18/2024,TRUE,5,5/18/2024, Midnight  ,256 GB,B09G9BQS98
B09G9BL5CP,India,5/14/2024,TRUE,5,5/14/2024, Midnight  ,256 GB,B09G9BQS98
B09G9BL5CP,India,1/28/2024,TRUE,5,1/28/2024, Midnight  ,256 GB,B09G9BQS98
B09G9BL5CP,India,3/1/2024,TRUE,5,3/1/2024, Midnight  ,256 GB,B09G9BQS98
B09G9BL5CP,India,11/14/2023,TRUE,4,11/14/2023, Midnight  ,256 GB,B09G9BQS98
B09G9BL5CP,India,2/3/2024,TRUE,5,2/3/2024, Midnight  ,256 GB,B09G9BQS98
B09G9BL5CP,India,2/6/2022,TRUE,5,2/6/2022, Pink  ,256 GB,B09G9HRYFZ
B09G9BL5CP,India,7/6/2024,TRUE,5,7/6/2024, Pink  ,256 GB,B09G9HRYFZ
B09G9BL5CP,India,5/18/2024,TRUE,5,5/18/2024, Pink  ,256 GB,B09G9HRYFZ
B09G9BL5CP,India,3/11/2024,TRUE,5,3/11/2024, Pink  ,256 GB,B09G9HRYFZ
B09G9BL5CP,India,10/12/2023,TRUE,4,10/12/2023, Pink  ,256 GB,B09G9HRYFZ
B09G9BL5CP,India,3/11/2022,TRUE,5,3/11/2022, Pink  ,256 GB,B09G9HRYFZ
B09G9BL5CP,India,10/31/2023,TRUE,3,10/31/2023, Pink  ,256 GB,B09G9HRYFZ
B09G9BL5CP,India,11/29/2023,TRUE,5,11/29/2023, Pink  ,256 GB,B09G9HRYFZ
B09G9BL5CP,India,9/8/2022,TRUE,5,9/8/2022, Pink  ,256 GB,B09G9HRYFZ
B09G9BL5CP,India,2/14/2024,TRUE,2,2/14/2024, Pink  ,256 GB,B09G9HRYFZ
B09G9BL5CP,India,8/6/2024,TRUE,5,8/6/2024, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,6/25/2024,TRUE,3,6/25/2024, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,5/12/2024,TRUE,3,5/12/2024, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,7/21/2024,TRUE,2,7/21/2024, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,11/4/2023,TRUE,5,11/4/2023, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,2/15/2024,TRUE,5,2/15/2024, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,8/7/2024,FALSE,4,8/7/2024, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,1/24/2024,TRUE,5,1/24/2024, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,4/7/2022,TRUE,4,4/7/2022, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,12/10/2023,TRUE,5,12/10/2023, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,8/10/2024,TRUE,4,8/10/2024, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,7/18/2024,TRUE,4,7/18/2024, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,8/22/2024,TRUE,5,8/22/2024, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,7/7/2024,TRUE,5,7/7/2024, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,6/1/2024,TRUE,5,6/1/2024, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,10/11/2023,TRUE,5,10/11/2023, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,7/2/2024,TRUE,2,7/2/2024, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,10/29/2023,TRUE,4,10/29/2023, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,11/29/2023,TRUE,5,11/29/2023, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,11/6/2023,TRUE,3,11/6/2023, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,8/19/2024,TRUE,4,8/19/2024, Pink  ,128 GB,B09G9FPGTN
B09G9BL5CP,India,9/4/2024,TRUE,5,9/4/2024, Pink  ,128 GB,B09G9FPGTN
B09G9BL5CP,India,6/22/2024,TRUE,5,6/22/2024, Pink  ,128 GB,B09G9FPGTN
B09G9BL5CP,India,9/18/2024,TRUE,5,9/18/2024, Pink  ,128 GB,B09G9FPGTN
B09G9BL5CP,India,9/19/2024,TRUE,5,9/19/2024, Pink  ,128 GB,B09G9FPGTN
B09G9BL5CP,India,10/20/2023,TRUE,3,10/20/2023, Pink  ,128 GB,B09G9FPGTN
B09G9BL5CP,India,8/17/2024,TRUE,5,8/17/2024, Pink  ,128 GB,B09G9FPGTN
B09G9BL5CP,India,9/11/2024,TRUE,3,9/11/2024, Pink  ,128 GB,B09G9FPGTN
B09G9BL5CP,India,4/6/2024,TRUE,4,4/6/2024, Pink  ,128 GB,B09G9FPGTN
B09G9BL5CP,India,8/14/2024,TRUE,5,8/14/2024, Pink  ,128 GB,B09G9FPGTN
B09G9BL5CP,India,8/12/2024,TRUE,4,8/12/2024, Starlight  ,256 GB,B09G9BFKZN
B09G9BL5CP,India,6/29/2024,TRUE,4,6/29/2024, Starlight  ,256 GB,B09G9BFKZN
B09G9BL5CP,India,9/15/2024,TRUE,3,9/15/2024, Starlight  ,256 GB,B09G9BFKZN
B09G9BL5CP,India,11/1/2023,TRUE,4,11/1/2023, Starlight  ,256 GB,B09G9BFKZN
B09G9BL5CP,India,8/7/2024,TRUE,3,8/7/2024, Starlight  ,256 GB,B09G9BFKZN
B09G9BL5CP,India,8/10/2024,TRUE,5,8/10/2024, Starlight  ,256 GB,B09G9BFKZN
B09G9BL5CP,India,5/11/2024,TRUE,5,5/11/2024, Starlight  ,256 GB,B09G9BFKZN
B09G9BL5CP,India,6/7/2024,TRUE,5,6/7/2024, Starlight  ,256 GB,B09G9BFKZN
B09G9BL5CP,India,9/21/2023,TRUE,5,9/21/2023, Starlight  ,256 GB,B09G9BFKZN
B09G9BL5CP,India,4/15/2024,TRUE,5,4/15/2024, Starlight  ,256 GB,B09G9BFKZN
B09G9BL5CP,India,9/18/2024,TRUE,4,9/18/2024, Green  ,128 GB,B09V4B6K53
B09G9BL5CP,India,9/10/2024,TRUE,5,9/10/2024, Green  ,128 GB,B09V4B6K53
B09G9BL5CP,India,9/16/2024,TRUE,5,9/16/2024, Green  ,128 GB,B09V4B6K53
B09G9BL5CP,India,8/21/2024,TRUE,5,8/21/2024, Green  ,128 GB,B09V4B6K53
B09G9BL5CP,India,8/16/2024,TRUE,5,8/16/2024, Green  ,128 GB,B09V4B6K53
B09G9BL5CP,India,8/31/2024,TRUE,5,8/31/2024, Green  ,128 GB,B09V4B6K53
B09G9BL5CP,India,5/11/2024,TRUE,4,5/11/2024, Green  ,128 GB,B09V4B6K53
B09G9BL5CP,India,8/12/2024,TRUE,5,8/12/2024, Green  ,128 GB,B09V4B6K53
B09G9BL5CP,India,8/21/2024,TRUE,3,8/21/2024, Green  ,128 GB,B09V4B6K53
B09G9BL5CP,India,8/12/2024,TRUE,5,8/12/2024, Green  ,128 GB,B09V4B6K53
B09G9BL5CP,India,9/13/2024,TRUE,5,9/13/2024, Starlight  ,128 GB,B09G9D8KRQ
B09G9BL5CP,India,9/15/2024,TRUE,5,9/15/2024, Starlight  ,128 GB,B09G9D8KRQ
B09G9BL5CP,India,9/15/2024,TRUE,5,9/15/2024, Starlight  ,128 GB,B09G9D8KRQ
B09G9BL5CP,India,10/8/2023,TRUE,5,10/8/2023, Starlight  ,128 GB,B09G9D8KRQ
B09G9BL5CP,India,9/9/2024,TRUE,5,9/9/2024, Starlight  ,128 GB,B09G9D8KRQ
B09G9BL5CP,India,9/11/2024,TRUE,5,9/11/2024, Starlight  ,128 GB,B09G9D8KRQ
B09G9BL5CP,India,8/7/2024,TRUE,4,8/7/2024, Starlight  ,128 GB,B09G9D8KRQ
B09G9BL5CP,India,8/28/2024,TRUE,5,8/28/2024, Starlight  ,128 GB,B09G9D8KRQ
B09G9BL5CP,India,2/24/2024,TRUE,5,2/24/2024, Starlight  ,128 GB,B09G9D8KRQ
B09G9BL5CP,India,7/11/2024,TRUE,4,7/11/2024, Starlight  ,128 GB,B09G9D8KRQ
B09G9BL5CP,India,11/13/2023,TRUE,5,11/13/2023, Midnight  ,128 GB,B09G9HD6PD
B09G9BL5CP,India,6/27/2024,TRUE,4,6/27/2024, Midnight  ,128 GB,B09G9HD6PD
B09G9BL5CP,India,9/6/2024,TRUE,5,9/6/2024, Midnight  ,128 GB,B09G9HD6PD
B09G9BL5CP,India,9/18/2024,TRUE,5,9/18/2024, Midnight  ,128 GB,B09G9HD6PD
B09G9BL5CP,India,9/16/2024,TRUE,5,9/16/2024, Midnight  ,128 GB,B09G9HD6PD
B09G9BL5CP,India,9/16/2024,TRUE,5,9/16/2024, Midnight  ,128 GB,B09G9HD6PD
B09G9BL5CP,India,8/13/2024,TRUE,4,8/13/2024, Midnight  ,128 GB,B09G9HD6PD
B09G9BL5CP,India,9/7/2024,TRUE,5,9/7/2024, Midnight  ,128 GB,B09G9HD6PD
B09G9BL5CP,India,9/2/2024,TRUE,5,9/2/2024, Midnight  ,128 GB,B09G9HD6PD
B09G9BL5CP,India,8/11/2024,TRUE,5,8/11/2024, Midnight  ,128 GB,B09G9HD6PD
B09G9BL5CP,India,1/11/2023,TRUE,5,1/11/2023, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,10/3/2022,TRUE,5,10/3/2022, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,9/11/2022,TRUE,5,9/11/2022, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,6/10/2022,TRUE,5,6/10/2022, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,2/12/2022,TRUE,5,2/12/2022, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,6/17/2022,TRUE,5,6/17/2022, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,6/10/2022,TRUE,5,6/10/2022, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,11/27/2021,TRUE,5,11/27/2021, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,11/19/2021,TRUE,5,11/19/2021, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,4/4/2022,TRUE,5,4/4/2022, Blue  ,256 GB,B09G93H3BR
B09G9BL5CP,India,11/19/2022,TRUE,5,11/19/2022, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,11/27/2022,TRUE,5,11/27/2022, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,11/9/2023,TRUE,2,11/9/2023, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,9/5/2022,TRUE,5,9/5/2022, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,6/27/2023,TRUE,2,6/27/2023, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,3/24/2022,TRUE,4,3/24/2022, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,7/16/2022,TRUE,5,7/16/2022, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,8/28/2022,TRUE,5,8/28/2022, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,7/28/2022,TRUE,5,7/28/2022, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,6/11/2022,TRUE,5,6/11/2022, Green  ,256 GB,B09V4MXBSN
B09G9BL5CP,India,9/17/2024,TRUE,5,9/17/2024, (PRODUCT) RED  ,128 GB,B09G99CW2N
B09G9BL5CP,India,7/30/2022,TRUE,4,7/30/2022, (PRODUCT) RED  ,128 GB,B09G99CW2N
B09G9BL5CP,India,7/12/2024,TRUE,4,7/12/2024, (PRODUCT) RED  ,128 GB,B09G99CW2N
B09G9BL5CP,India,8/31/2024,TRUE,5,8/31/2024, (PRODUCT) RED  ,128 GB,B09G99CW2N
B09G9BL5CP,India,8/14/2024,TRUE,5,8/14/2024, (PRODUCT) RED  ,128 GB,B09G99CW2N
B09G9BL5CP,India,8/7/2024,TRUE,5,8/7/2024, (PRODUCT) RED  ,128 GB,B09G99CW2N
